1;VINHO DE MESA;VINHO DE MESA;98327606;114399031;118377367;116617910;94173324;108031792;139238614;140813114;141293379;149609112;122825298;128894580;166861772;195616620;171619507;185191837;203130018;131065191;150678647;172921267;164725646;190134895;180230431;201168480;180295366;146583828;165831436;174768638;181576649;200578746;221023603;221518224;227447392;217082959;225021830;271248493;245625614;226710045;200488612;234525979;221242945;230310468;206969571;221590810;206404427;209198468;166769622;176059959;177186273;180446489;215557931;210012238
2;vm_Tinto;  Tinto;83300735;98522869;101167932;98196747;77167303;91528090;116407222;116609545;117203914;119496652;99646124;99151812;131957890;151852639;129249097;138710394;153357217;96590206;114100716;136642954;120889721;141726264;138190489;157031022;140192480;108968350;122549540;127693158;133479291;150857434;172183792;176793696;181274195;179225328;186236086;227987458;209438207;190526781;172020779;193004182;188649074;196562722;173964776;188033494;178250072;182028785;146646365;154309442;155115499;158519218;189573423;185653678
3;vm_Rosado;  Rosado;107681;542274;7770851;8425617;8891367;7261777;11748047;15195525;14612454;18643308;14746625;16360547;15786964;23841328;21724540;23988088;28544630;21376304;17329181;14564451;16482188;16322381;12822511;13767249;13762956;11653971;13374874;13550872;12980172;13221934;9150927;7283912;8434812;6945806;5478618;3562059;3071382;2252558;1840779;2307580;2036928;1668823;1738134;1777648;1419855;1409002;1391942;1097426;1972944;1265435;1394901;1931606
4;vm_Branco;  Branco;14919190;15333888;9438584;9995546;8114654;9241925;11083345;9008044;9477011;11469152;8432549;13382221;19116918;19922653;20645870;22493355;21228171;13098681;19248750;21713862;27353737;32086250;29217431;30370209;26339930;25961507;29907022;33524608;35117186;36499378;39688884;37440616;37738385;30911825;33307126;39698976;33116025;29122090;26627054;39214217;30556943;32078923;31266661;31779668;26734500;25760681;18731315;20653091;20097830;20661836;24589607;22426954
5;VINHO  FINO DE MESA;VINHO  FINO DE MESA;4430629;4840369;5602091;7202830;7571802;8848303;14095648;14975330;17596956;21695829;22976342;21607857;26302928;32690119;42164393;44599207;50881779;34335860;40014386;50390262;39885259;37526111;39537060;49916112;46541918;40195501;43695771;46442209;32456318;37096571;34195829;28701658;25438750;23293171;19884366;22306004;22767358;21485699;23167738;33080270;21390159;19967310;22469950;27912934;20424983;20141631;19630158;15874354;14826143;15684588;24310834;27080445
6;vm_Tinto;  Tinto;435354;428927;624499;783508;1616144;2050960;4450570;4504303;4920802;6360276;7244385;7403644;7699010;9811525;14797285;13133683;15664511;10144561;11713661;14737896;11141857;9015204;10712402;11988665;13290842;12299213;13540528;18303579;11925188;14706398;15119076;12112495;12109658;12559693;10859722;13335767;13920655;13872339;13920224;19576295;15184398;14876896;15443016;19121750;15354938;15572632;15228514;12021684;11150517;11433702;18202453;19337862
7;vm_Rosado;  Rosado;183234;227299;403664;1377333;1725564;2130619;3118919;3248565;3501895;4119615;5096819;2738962;3608877;3548807;3714334;3510330;3685709;2328264;1939881;2596587;1583368;1342140;1130509;1639949;1631454;1540910;1457704;1997373;1585687;1479987;1021310;790176;650263;579724;390371;472971;307189;416285;313513;213835;236802;211484;150806;214269;164219;169185;172351;182080;262430;503524;993248;1603537
8;vm_Branco;  Branco;3812041;4184143;4573928;5041989;4230094;4666724;6526159;7222462;9174259;11215938;10635138;11465251;14995041;19329787;23652774;27955194;31531559;21863035;26360844;33055779;27160034;27168767;27694149;36287498;31619622;26355378;28697539;26141257;18945443;20910186;18055443;15798987;12678829;10153754;8634273;8497266;8539514;7197075;8934001;13290140;5968959;4878930;6876128;8576915;4905826;4399814;4229293;3670590;3413196;3747362;5115133;6139046
9;VINHO FRIZANTE;VINHO FRIZANTE;466480;358116;356340;327865;270641;301293;248456;143575;13915;14578;9303;13354;176692;147892;0;0;0;0;248840;275708;310524;268563;161507;359420;183160;136526;260638;221733;15370;12861;2583;0;5003;5203;17225;111666;258248;250114;441691;1003596;1851136;1706679;1605767;1764851;1893469;1836167;1727386;1586985;1638337;1826433;2557585;3696762
10;VINHO ORGÂNICO;VINHO ORGÂNICO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2554;10718;18686
11;VINHO ESPECIAL;VINHO ESPECIAL;7325789;7824931;8737605;9693953;7638484;10260445;12392725;11569676;10247572;13790557;11056774;6907060;5011009;5393631;5535657;4766741;4636751;2969853;2328150;1788772;1371223;1354861;882564;1849251;1423645;1396441;1261662;790617;194075;234696;249345;492272;270364;205269;66989;285994;172176;106333;65;113;293;699;239;2257;7231;593;331;0;0;0;0;0
12;ve_Tinto;  Tinto;4730346;4802828;4347706;5017487;3763509;4815235;4819463;3959050;4083073;7004780;4608059;1906240;939619;1034452;1043073;863932;749197;372184;525229;288905;266887;326807;217945;542146;589529;628481;264304;136027;50870;56589;177872;281260;258412;87544;51824;278339;171361;106333;65;113;293;699;239;2257;7231;593;331;0;0;0;0;0
13;ve_Rosado;  Rosado;1229564;1662821;1901801;2062011;1989341;2885972;4231765;4034615;4177476;5067851;4312513;3388872;2418770;2735222;2308400;2145100;2057888;1122648;887025;876167;595973;487553;304897;243582;104886;86933;70536;145144;2074;112392;0;12833;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
